Name,Type,TextBox,Subtype,Cost,Attack,Speed,Health,Legendary,Patron,VersionAdded,ArtType,ArtCredit,HasAnimation,AnimationCount,AnimationTypes,StarterDecks,MentionedCards
Dragonkin Evoker,Minion,"Realmbound. Spell-Damage +1. When ANY spell is played, deal 1 damage to the enemy commander.",Dragon,1,0,2,3,,Neutral,0.3.4,AI_GENERATED,Midjourney,False,0,,,
Dragon's Breath,Spell,[Range 4]: Deal 5 damage to target minion. Play this only if you control a Dragon or have a Dragon card in your hand.,Fire,2,,,,,Skaal,0.6.11,AI_GENERATED,ChatGPT Images,False,0,,,
Drain Energy,Spell,"An enemy minion loses <sprite name=""power_3""> and <sprite name=""health_3""> until end of turn. Your commander heals 3 life.",None,2,,,,,Shadis,0.4.15,COMMISSIONED_PLACEHOLDER,Devora Studios,False,0,,Starter Death,
Drakemire Shaman,Minion,"Spellcaster. Arrival: Draw a Dragon. Whenever an ally Dragon in Range 2 attacks, add a Poison Sting to your hand.",Elf,4,3,2,4,,Grenalia,0.4.38,ARTIST_COMMISSIONED,Tomas Vinco,True,3,LoopingParticle;ParticleDisplayFXAnimation,,Poison Sting
Dread Knight,Minion,"Commander-Deploy. Enemy minions within Range 2 have -<sprite name=""power_1"">.",Human,6,7,3,6,,Neutral,0.1.1,ARTIST_COMMISSIONED,Marc Petrelis,True,2,AuraSigil;BattleSound,"Starter Death, Starter Deploy",
Dread Proclamation,Spell,"Until the end of the turn, all enemy minions lose <sprite name=""power_1""> and <sprite name=""health_1"">. When an enemy dies this turn, gain <sprite name=""dominion_1""> Dominion.",Psychic,3,,,,,Shadis,0.4.24,AI_GENERATED,DALL-E,False,0,,,
Dreadlord Cyrion,Minion,"Legendary. Commander-Deploy. Enemy minions within Range 2 have -<sprite name=""power_1""><sprite name=""speed_1""><sprite name=""health_1"">.",Human,7,8,3,6,True,Neutral,0.1.21,ARTIST_COMMISSIONED,Marc Petrelis,True,2,AuraSigil;BattleSound,,
Drowsy Lizard,Minion,"[Arrival, Range 4]: Silence a minion.",Beast,2,2,1,3,,Neutral,0.1.1,ARTIST_COMMISSIONED,Tomas Vinco,False,0,,,
Durka Wurm,Minion,"Postmortem: Summon a <sprite name=""power_1""><sprite name=""speed_3""><sprite name=""health_1""> Spawn token in every unoccupied tile within Range 1.",Beast,8,7,4,7,,Neutral,0.4.8,AI_GENERATED,Midjourney,False,0,,,Durka Spawn
Dwarven Battlepriest,Minion,"Spellcaster. [Arrival, Range 4]: An ally minion gains <sprite name=""health_3"">.",Dwarf,2,2,2,3,,Lucia,0.4.2,COMMISSIONED_PLACEHOLDER,Devora Studios,False,0,,Starter Military,
Dwarven Stout,Spell,"[Range 2]: A Dwarf minion gains <sprite name=""power_4""> and <sprite name=""health_4""> and ""At the end of your turns, deal 1 damage to all adjacent characters.""",Potion,4,,,,,Lucia,0.4.26,ARTIST_COMMISSIONED,Tomas Vinco,True,4,LoopingParticle;ParticleDisplayFXAnimation;SingleSoundFXAnimation;SpriteProjectileFXAnimation,,
"Dyana, Prime Huntress",Minion,Legendary. You can't play Dyana unless you control 3 Beasts. [Range 5 Attack]: Deal 7 damage to an enemy.,Demigod,5,5,2,7,True,Grenalia,0.2.4,ARTIST_COMMISSIONED,Jack Nguyen,True,5,ParticleDisplayFXAnimation;ParticleTwoPointMotionFXAnimation;SingleSoundFXAnimation,,
Eagle King,Minion,"Flying. When your characters attack, your Commander heals 1. [Arrival]: Summon a Giant Eagle.",Beast,6,3,4,4,,Neutral,0.2.5,ARTIST_COMMISSIONED,Marc Petrelis,False,0,,Starter Beasts,Giant Eagle
Elf Ranger,Minion,[Range 2 Attack]: Deal 2 damage to an enemy.,Elf,2,1,2,3,,Neutral,0.1.1,PURCHASED_ASSET,Nightfall Interactive,True,4,ParticleDisplayFXAnimation;ParticleTwoPointMotionFXAnimation;SingleSoundFXAnimation,"Starter Beasts, Starter Military",
Elite Mercenary,Minion,"Commander-Deploy. Sentinel. Lifelink. Shield. Costs <sprite name=""mana_3""> less if your opponent controls 4 or more minions.",Human,7,4,3,5,,Neutral,0.4.42,AI_GENERATED,DALL-E,False,0,,,
Elixirist,Minion,Arrival: add a Growth Potion to your hand.,Elf,3,4,3,2,,Neutral,0.4.45,ARTIST_COMMISSIONED,Tomas Vinco,True,4,LoopingParticle;ParticleDisplayFXAnimation;SingleSoundFXAnimation;SpriteProjectileFXAnimation,"Starter Beasts, Starter Mage",Growth Potion
Elven Spellblade,Minion,Arrival: Deal 3 damage to the enemy commander.,Elf,5,5,4,5,,Neutral,0.5.2,COMMISSIONED_PLACEHOLDER,Indra Atmana,False,0,,Starter Deploy,
Ember,Minion,"When you play a Fire card, gain <sprite name=""mana_2""> this turn and gain <sprite name=""power_2""> and deal 1 damage to Ember.",Fire,1,0,3,3,,Skaal,0.4.38,AI_GENERATED,DALL-E,False,0,,,
Emerald Asp,Minion,"When Emerald Asp attacks, apply Poison to the enemy equal to Emerald Asp's power.",Beast,2,2,3,1,,Grenalia,0.4.23,AI_GENERATED,DALL-E,True,5,BattleHit;BattleSound;LoopingParticle;ParticleDisplayFXAnimation,,
Energy Potion,Spell,"[Range 2]: A minion gains Haste, regains their movement, and regains an Attack.",Potion,2,,,,,Neutral,0.1.4,ARTIST_COMMISSIONED,Tomas Vinco,True,4,ParticleDisplayFXAnimation;SingleSoundFXAnimation;SpriteProjectileFXAnimation,,
Enigmatic Golem,Minion,"Costs <sprite name=""mana_X""> less to play where X is your commander's missing Health.",Mech,20,9,3,9,,Neutral,0.4.24,COMMISSIONED_PLACEHOLDER,Devora Studios,True,2,BattleHit;BattleSound,,
Ereloth,Minion,"Lifelink. Arrival: all minion cards in your opponent’s hand lose <sprite name=""power_1""> and <sprite name=""health_1"">.",Daemon,4,3,4,3,,Shadis,0.6.6,AI_GENERATED,ChatGPT Images,True,1,CardAbilityOnAdd,,
Eternal Wall,Minion,Commander-Deploy. Sentinel. Arrival: Add a copy of this to your hand with Ethereal.,None,2,0,0,6,,Lucia,0.4.6,AI_GENERATED,Midjourney,True,1,CardLoopingParticle,,
Expand the Wilds,Spell,Claim an uncontested tile adjacent to your territory.,None,1,,,,,Grenalia,0.1.1,AI_GENERATED,Stable Diffusion,False,0,,,
Explosive Potion,Spell,[Range 2]: Deal 2 damage to all characters in 1 Radius.,Potion,4,,,,,Neutral,0.1.7,ARTIST_COMMISSIONED,Tomas Vinco,True,7,CompositeFXAnimation;ParticleDisplayFXAnimation;SingleSoundFXAnimation;SpriteProjectileFXAnimation,Starter Deploy,
Expropriation,Spell,[Range 2] Return ANY minion to YOUR hand.,Psychic,7,,,,,Archaeon,0.4.38,COMMISSIONED_PLACEHOLDER,Indra Atmana,False,0,,,
Fade to Mists,Spell,"[Range 2]: Return a minion you control to your hand. It costs <sprite name=""mana_3""> less.",Psychic,1,,,,,Archaeon,0.5.5,COMMISSIONED_PLACEHOLDER,Indra Atmana,False,0,,,
Feeblemind,Spell,[Range 2]: Stun an enemy commander. Their Intellect becomes 1.,Psychic,9,,,,,Archaeon,0.4.31,COMMISSIONED_PLACEHOLDER,Indra Atmana,False,0,,,
Feral Vampire,Minion,"Lifelink.  (When battling, your commander heals equal to this character's power.)",Vampire,3,4,3,3,,Neutral,0.4.20,COMMISSIONED_PLACEHOLDER,Devora Studios,False,0,,Starter Death,
Finishing Strike,Spell,[Range 4]: Destroy a damaged minion.,None,1,,,,,Skaal,0.5.2,AI_GENERATED,ChatGPT Images,False,0,,,
Fireball,Spell,[Range 4]: Deal 3 damage to all characters in 1 Radius.,Fire,5,,,,,Skaal,0.1.1,ARTIST_COMMISSIONED,Marc Petrelis,True,3,CameraShakeFXAnimation;ParticleDisplayFXAnimation;SingleSoundFXAnimation,,
Firebolt,Spell,"[Range 4]: Deal 3 Damage to a character. If this kills them, gain <sprite name=""dominion_1""> Dominion.",Fire,3,,,,,Skaal,0.1.7,ARTIST_COMMISSIONED,Marc Petrelis,True,4,ParticleDisplayFXAnimation;ParticleTwoPointMotionFXAnimation;SingleSoundFXAnimation,,
First Experiment,Minion,"Spellcaster. Whenever you play a Potion on an ally Experiment, gain <sprite name=""power_2"">.",Experiment,1,1,3,3,,Neutral,0.1.7,COMMISSIONED_PLACEHOLDER,Devora Studios,False,0,,,
Flame Acolyte,Minion,Spellcaster. Arrival: add 2 copies of Flamelash to your hand.,Human,5,6,3,1,,Skaal,0.1.21,AI_GENERATED,Stable Diffusion,True,5,BattleHit;BattleSound;EntryEffect;ParticleDisplayFXAnimation;SingleSoundFXAnimation,,Flamelash
Flamelash,Spell,[Range 2]: Deal 3 damage to a character.,Fire,1,,,,,Skaal,0.1.1,ARTIST_COMMISSIONED,Tomas Vinco,True,3,EntryEffect;ParticleDisplayFXAnimation;SingleSoundFXAnimation,,
Found City,Spell,Convert a tile you own to a village. Add a copy of Settle Village to your hand.,Village,5,,,,,Neutral,0.6.9,AI_GENERATED,ChatGPT Images,True,1,SingleSoundFXAnimation,,Settle Village
Fourth Experiment,Minion,"Whenever you play a Potion on an ally Experiment, gain <sprite name=""power_2""><sprite name=""speed_1""><sprite name=""health_2"">.",Experiment,4,3,3,3,,Neutral,0.1.12,COMMISSIONED_PLACEHOLDER,Devora Studios,False,0,,,
Frostblade,Spell,"[Range 1]: Deal 2 damage. If targeting a minion, stun it.",Frost,1,,,,,Archaeon,0.4.38,ARTIST_COMMISSIONED,Marc Petrelis,True,2,ParticleDisplayFXAnimation;SingleSoundFXAnimation,Starter Mage,
Fungal Explosion,Spell,[Range 3]: Add 4 Poison to all characters in 1 Radius.,None,7,,,,,Grenalia,0.1.14,AI_GENERATED,Midjourney,True,3,LoopingParticle;ParticleDisplayFXAnimation,,
Ghast,Minion,"[Range 2]: Target minion loses <sprite name=""power_1""> and <sprite name=""health_1"">. Ghast also loses <sprite name=""power_1""> and <sprite name=""health_1"">.",Undead,3,3,2,3,,Shadis,0.4.26,COMMISSIONED_PLACEHOLDER,Amna Zaki,True,2,BattleHit;BattleSound,,
Giant Eagle,Minion,Flying.  (Can occupy non-traversable tiles.),Beast,4,3,4,4,,Neutral,0.2.5,ARTIST_COMMISSIONED,Marc Petrelis,False,0,,Starter Mage,
Giant River Snapper,Minion,Sentinel. Arrival: Your commander heals 8 health.,Beast,8,8,2,10,,Grenalia,0.1.2,ARTIST_COMMISSIONED,Marc Petrelis,True,2,BattleHit;BattleSound,,
Gilded Defender,Minion,Realmbound.  (May only occupy tiles you own.),Mech,2,5,3,5,,Neutral,0.4.42,COMMISSIONED_PLACEHOLDER,Devora Studios,True,2,BattleHit;BattleSound,,
Goblin Duo,Minion,Goblin-Deploy. Arrival: add a goblin scamp to hand.,Goblin,2,1,2,1,,Neutral,0.1.1,AI_GENERATED,Stable Diffusion,False,0,,,Goblin Scamp
Goblin Firebow,Minion,Goblin-Deploy. [Range 2 Attack]: Deal 2 damage. Deal 1 damage to Goblin Firebow,Goblin,1,1,2,2,,Neutral,0.1.2,AI_GENERATED,Nano Banana Pro,True,6,ParticleDisplayFXAnimation;ParticleTwoPointMotionFXAnimation;SingleSoundFXAnimation,,
Goblin Infantry,Minion,"Gain <sprite name=""power_1""> whenever you play a Goblin card.",Goblin,1,1,2,3,,Neutral,0.1.1,AI_GENERATED,Stable Diffusion,False,0,,,
Goblin Infiltrator,Minion,Trample. Deploy.,Goblin,5,5,2,5,,Neutral,0.1.1,AI_GENERATED,Stable Diffusion,False,0,,"Starter Death, Starter Deploy",
Goblin King,Minion,"Allied Goblin minions within Range 3 have +<sprite name=""power_2"">.",Goblin,3,3,2,3,,Neutral,0.1.1,COMMISSIONED_PLACEHOLDER,Sam Reissing,True,1,AuraSigil,,
Goblin Lorespeaker,Minion,"Spellcaster. Spell-Damage +1. Whenever a Goblin you control within Range 3 dies, add a Thunderjolt to your hand.",Goblin,4,3,2,4,,Skaal,0.1.2,AI_GENERATED,Midjourney,True,3,EntryEffect;ParticleDisplayFXAnimation;SingleSoundFXAnimation,,Thunder Jolt
Goblin Musclejuice,Spell,"[Range 2]: A Goblin minion gains <sprite name=""power_3""><sprite name=""speed_2""><sprite name=""health_3"">.",Potion,3,,,,,Skaal,0.1.1,ARTIST_COMMISSIONED,Tomas Vinco,True,4,LoopingParticle;ParticleDisplayFXAnimation;SingleSoundFXAnimation;SpriteProjectileFXAnimation,,
Goblin Paratrooper,Minion,Deploy.  (Can be played outside of your territory.),Goblin,2,2,2,3,,Neutral,0.1.1,AI_GENERATED,Stable Diffusion,False,0,,Starter Deploy,
Goblin Recruitment,Spell,Add 3 Goblin Scamps to your hand.,None,3,,,,,Skaal,0.1.1,AI_GENERATED,Midjourney,False,0,,,Goblin Scamp
Goblin Scamp,Minion,"Goblin-Deploy.  (Can be played outside of your territory, if next to an ally goblin.)",Goblin,0,1,2,1,,Neutral,0.1.1,AI_GENERATED,Stable Diffusion,False,0,,,
Goblin Scout,Minion,"Goblin-Deploy. Arrival: If you control 2 other Goblins, draw a Goblin from your deck.",Goblin,2,2,2,2,,Neutral,0.1.2,AI_GENERATED,Midjourney,False,0,,,
Goblin Shaman,Minion,"Spellcaster. [Arrival, Range 4]: Deal 1 Damage.",Goblin,1,2,2,1,,Neutral,0.2.1,AI_GENERATED,Midjourney,True,2,ParticleDisplayFXAnimation;SingleSoundFXAnimation,Starter Deploy,
Goblin Skirmisher,Minion,"Haste.  (When played, can move and Attack immediately.)",Goblin,3,3,2,3,,Neutral,0.1.1,COMMISSIONED_PLACEHOLDER,Sam Reissing,True,1,SingleSoundFXAnimation,,
Gold Dragon,Minion,Flying. Lifelink. [Warmup 3]: Fully heal all allies.,Dragon,8,7,4,10,,Lucia,0.4.7,ARTIST_COMMISSIONED,Marc Petrelis,False,0,,,
Grand Illusion,Spell,[Range 2]: Swap an ally minion with a non-Titan minion from your deck.,Psychic,6,,,,,Archaeon,0.4.19,COMMISSIONED_PLACEHOLDER,Indra Atmana,False,0,,,
Grand Swordsmith,Minion,"Arrival: Give your Weapon +<sprite name=""power_1""> and +<sprite name=""durability_1"">.",Dwarf,4,4,2,5,,Neutral,1.2.1,AI_GENERATED,ChatGPT Images,False,0,,,
Granite Guard,Minion,Sentinel.  (An enemy that could battle this minion may only battle Sentinels.),Dwarf,4,3,2,6,,Neutral,1.2.0,AI_GENERATED,ChatGPT Images,False,0,,,
Gravehand,Minion,"Whenever another minion you control within Range 2 dies, draw a card.",Human,4,1,3,3,,Neutral,0.1.2,ARTIST_COMMISSIONED,Marc Petrelis,False,0,,,
Great Weapon Conjuring,Spell,"Draw a Weapon from your deck. If you control a Dwarf, give it +<sprite name=""power_1""><sprite name=""speed_1""><sprite name=""durability_1"">.",None,2,,,,,Lucia,1.2.1,AI_GENERATED,ChatGPT Images,False,0,,,
